Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S6355:  "Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.",MAJOR,5min,Key: AYcY5ebk4qaWvu8CHD3L Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 49;startOffset: 0;endOffset: 11;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused deviceName local variable.",MINOR,5min,Key: AYcY5ekU4qaWvu8CHD3M Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 169;startOffset: 31;endOffset: 41;endLine: 169,Maintenance (Code Smells)
To-Do,New,Normal,java:S1481:  "Remove this unused adsVersion local variable.",MINOR,5min,Key: AYcY5ekU4qaWvu8CHD3N Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 170;startOffset: 31;endOffset: 41;endLine: 170,Maintenance (Code Smells)
To-Do,New,Normal,java:S1170:  "Make this final field static too.",MINOR,2min,Key: AYcY5eWQ4qaWvu8CHD3J Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 54;startOffset: 25;endOffset: 27;endLine: 54,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYcY5e794qaWvu8CHD3V Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 73;startOffset: 12;endOffset: 15;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYcY5e794qaWvu8CHD3W Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 74;startOffset: 16;endOffset: 19;endLine: 74,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "Format specifiers or lambda should be used instead of string concatenation.",MAJOR,10min,Key: AYcY5e7V4qaWvu8CHD3T Path: Analisi-1:plc4j/examples/poll-loop/src/main/java/org/apache/plc4x/java/examples/pollloop/PollLoop.java - startLine: 129;startOffset: 20;endOffset: 54;endLine: 129,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "Format specifiers or lambda should be used instead of string concatenation.",MAJOR,10min,Key: AYcY5e7V4qaWvu8CHD3U Path: Analisi-1:plc4j/examples/poll-loop/src/main/java/org/apache/plc4x/java/examples/pollloop/PollLoop.java - startLine: 143;startOffset: 16;endOffset: 50;endLine: 143,Maintenance (Code Smells)
To-Do,New,Normal,java:S1170:  "Make this final field static too.",MINOR,2min,Key: AYcY5dr24qaWvu8CHD3B Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldWriterArray.java - startLine: 32;startOffset: 25;endOffset: 27;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,java:S6355:  "Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.",MAJOR,5min,Key: AYcY5dzc4qaWvu8CHD3D Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/AbstractPlcConnection.java - startLine: 60;startOffset: 4;endOffset: 15;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,java:S1170:  "Make this final field static too.",MINOR,2min,Key: AYcY5diL4qaWvu8CHD3A Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/WriteBufferBoxBased.java - startLine: 44;startOffset: 25;endOffset: 27;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYcY5eMz4qaWvu8CHD3G Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 174;startOffset: 50;endOffset: 109;endLine: 174,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYcY5eMz4qaWvu8CHD3H Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 232;startOffset: 50;endOffset: 105;endLine: 232,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYcY5eMz4qaWvu8CHD3I Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 259;startOffset: 50;endOffset: 107;endLine: 259,Maintenance (Code Smells)
To-Do,New,Normal,java:S1192:  "Define a constant instead of duplicating this literal  on connected PlcEntity 4 times.",CRITICAL,10min,Key: AYcY5eLq4qaWvu8CHD3E Path: Analisi-1:plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityInterceptor.java - startLine: 121;startOffset: 63;endOffset: 88;endLine: 121,Maintenance (Code Smells)
To-Do,New,Normal,java:S1170:  "Make this final field static too.",MINOR,2min,Key: AYcY5fBl4qaWvu8CHD3Y Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 49;startOffset: 25;endOffset: 27;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.UncheckedIOException'.",MINOR,2min,Key: AYcY5fB04qaWvu8CHD3Z Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialPollingSelector.java - startLine: 26;startOffset: 7;endOffset: 35;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.text.MessageFormat'.",MINOR,2min,Key: AYcY5e154qaWvu8CHD3Q Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 28;startOffset: 7;endOffset: 30;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,java:S1172:  "Remove these unused method parameters n1 n2.",MAJOR,5min,Key: AYcY5e154qaWvu8CHD3P Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 413;startOffset: 161;endOffset: 163;endLine: 413,Maintenance (Code Smells)
