Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S2187:  "Add some tests to this class.",BLOCKER,5min,Key: AYRYwJx1zLdrJGM29xCH Path: Analisi-1:plc4j/drivers/modbus/src/test/java/org/apache/plc4x/java/modbus/ManualPacketTest.java - startLine: 28;startOffset: 13;endOffset: 29;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,java:S3252:  "Use static access with org.apache.plc4x.java.modbus.readwrite.ModbusADU for staticParse.",CRITICAL,5min,Key: AYRYwJxTzLdrJGM29xB1 Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 188;startOffset: 80;endOffset: 91;endLine: 188,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",CRITICAL,9min,Key: AYRYwJxdzLdrJGM29xB3 Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/ascii/protocol/ModbusAsciiProtocolLogic.java - startLine: 121;startOffset: 47;endOffset: 52;endLine: 121,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AYRYwJw1zLdrJGM29xBR Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 55;startOffset: 4;endOffset: 10;endLine: 55,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.",CRITICAL,18min,Key: AYRYwJw1zLdrJGM29xBZ Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 207;startOffset: 23;endOffset: 33;endLine: 207,Maintenance (Code Smells)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to int.",MINOR,5min,Key: AYRYwJw6zLdrJGM29xBf Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/readwrite/utils/StaticHelper.java - startLine: 76;startOffset: 19;endOffset: 24;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to int.",MINOR,5min,Key: AYRYwJw6zLdrJGM29xBg Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/readwrite/utils/StaticHelper.java - startLine: 76;startOffset: 54;endOffset: 59;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",CRITICAL,9min,Key: AYRYwJxEzLdrJGM29xBi Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/rtu/protocol/ModbusRtuProtocolLogic.java - startLine: 121;startOffset: 47;endOffset: 52;endLine: 121,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.",CRITICAL,11min,Key: AYRYwJxOzLdrJGM29xBn Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/protocol/ModbusTcpProtocolLogic.java - startLine: 128;startOffset: 47;endOffset: 52;endLine: 128,Maintenance (Code Smells)
To-Do,New,Normal,java:S1192:  "Define a constant instead of duplicating this literal . Actual type  3 times.",CRITICAL,8min,Key: AYRYwKbyzLdrJGM29x2K Path: Analisi-1:code-generation/language-java/src/main/java/org/apache/plc4x/language/java/JavaLanguageTemplateHelper.java - startLine: 652;startOffset: 102;endOffset: 118;endLine: 652,Maintenance (Code Smells)
To-Do,New,Normal,java:S3416:  "Update this logger to use EncryptionHandler.class.",MINOR,5min,Key: AYRYwJsRzLdrJGM29w-f Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/EncryptionHandler.java - startLine: 31;startOffset: 65;endOffset: 96;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,java:S6355:  "Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.",MAJOR,5min,Key: AYRYwJppzLdrJGM29w96 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderFactory.java - startLine: 45;startOffset: 4;endOffset: 15;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.",CRITICAL,16min,Key: AYRYwKa6zLdrJGM29x1V Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionStringListener.java - startLine: 140;startOffset: 17;endOffset: 43;endLine: 140,Maintenance (Code Smells)
To-Do,New,Normal,java:S5961:  "Refactor this method to reduce the number of assertions from 140 to less than 25.",MAJOR,20min,Key: AYRYwKbJzLdrJGM29x1c Path: Analisi-1:code-generation/protocol-base-mspec/src/test/java/org/apache/plc4x/plugins/codegenerator/language/mspec/parser/MessageFormatParserTest.java - startLine: 67;startOffset: 9;endOffset: 25;endLine: 67,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 61 to the 15 allowed.",CRITICAL,51min,Key: AYRYwKbyzLdrJGM29x2V Path: Analisi-1:code-generation/language-java/src/main/java/org/apache/plc4x/language/java/JavaLanguageTemplateHelper.java - startLine: 92;startOffset: 18;endOffset: 53;endLine: 92,Maintenance (Code Smells)
To-Do,New,Normal,java:S4144:  "Update this method so that its implementation is not identical to getTypeDefinition on line 55.",MAJOR,15min,Key: AYRYwKYczLdrJGM29xz7 Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/references/DefaultDataIoTypeReference.java - startLine: 72;startOffset: 32;endOffset: 55;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AYRYwKZOzLdrJGM29x0T Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/fields/DefaultTypedField.java - startLine: 35;startOffset: 4;endOffset: 10;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,java:S2065:  "Remove the transient modifier from this field.",MINOR,2min,Key: AYRYwKYczLdrJGM29xz8 Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/references/DefaultDataIoTypeReference.java - startLine: 37;startOffset: 14;endOffset: 23;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,java:S2201:  "The return value of map must be used.",MAJOR,10min,Key: AYRYwKY2zLdrJGM29x0E Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 56;startOffset: 13;endOffset: 16;endLine: 56,Reliability (Bugs)
To-Do,New,Normal,java:S2065:  "Remove the transient modifier from this field.",MINOR,2min,Key: AYRYwKX9zLdrJGM29xz2 Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/references/DefaultComplexTypeReference.java - startLine: 36;startOffset: 14;endOffset: 23;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,java:S2065:  "Remove the transient modifier from this field.",MINOR,2min,Key: AYRYwKYizLdrJGM29xz9 Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/references/DefaultEnumTypeReference.java - startLine: 37;startOffset: 14;endOffset: 23;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AYRYwKYPzLdrJGM29xz5 Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/references/AbstractSimpleTypeReference.java - startLine: 30;startOffset: 4;endOffset: 10;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYRYwJxTzLdrJGM29xBr Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 138;startOffset: 20;endOffset: 23;endLine: 138,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYRYwJxTzLdrJGM29xBt Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 187;startOffset: 24;endOffset: 27;endLine: 187,Maintenance (Code Smells)
To-Do,New,Normal,java:S1602:  "Remove useless curly braces around statement",MINOR,5min,Key: AYRYwJxTzLdrJGM29xBw Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 73;startOffset: 50;endOffset: 51;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYRYwJxIzLdrJGM29xBl Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/ModbusTcpDriver.java - startLine: 66;startOffset: 19;endOffset: 36;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,java:S135:  "Reduce the total number of break and continue statements in this loop to use at most one.",MINOR,40min,Key: AYRYwJxTzLdrJGM29xBq Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 157;startOffset: 20;endOffset: 25;endLine: 157,Maintenance (Code Smells)
To-Do,New,Normal,java:S2674:  "Check the return value of the skip call to see how many bytes were read.",MINOR,15min,Key: AYRYwJxTzLdrJGM29xB0 Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 161;startOffset: 40;endOffset: 44;endLine: 161,Reliability (Bugs)
To-Do,New,Normal,java:S2187:  "Add some tests to this class.",BLOCKER,5min,Key: AYRYwJx5zLdrJGM29xCI Path: Analisi-1:plc4j/drivers/modbus/src/test/java/org/apache/plc4x/java/modbus/ManualModbusDiscoveryTest.java - startLine: 27;startOffset: 13;endOffset: 38;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'MacAddress.class::isInstance'.",MINOR,2min,Key: AYRYwKSczLdrJGM29xwF Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 89;startOffset: 41;endOffset: 43;endLine: 89,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'MacAddress.class::cast'.",MINOR,2min,Key: AYRYwKSczLdrJGM29xwG Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 90;startOffset: 38;endOffset: 40;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,java:S2095:  "Use try-with-resources or close this PcapHandle in a finally clause.",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xv_ Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 99;startOffset: 41;endOffset: 77;endLine: 100,Reliability (Bugs)
To-Do,New,Normal,java:S2095:  "Use try-with-resources or close this PcapHandle in a finally clause.",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwC Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 102;startOffset: 39;endOffset: 77;endLine: 103,Reliability (Bugs)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AYRYwKSczLdrJGM29xwH Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 189;startOffset: 22;endOffset: 117;endLine: 189,Maintenance (Code Smells)
To-Do,New,Normal,java:S2095:  "Use try-with-resources or close this PcapHandle in a finally clause.",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwA Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 215;startOffset: 41;endOffset: 77;endLine: 216,Reliability (Bugs)
To-Do,New,Normal,java:S2095:  "Use try-with-resources or close this PcapHandle in a finally clause.",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwB Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 218;startOffset: 39;endOffset: 77;endLine: 219,Reliability (Bugs)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to short.",MINOR,5min,Key: AYRYwKSczLdrJGM29xwI Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 331;startOffset: 87;endOffset: 94;endLine: 331,Maintenance (Code Smells)
To-Do,New,Normal,java:S2629:  "Invoke method(s) only conditionally.",MAJOR,5min,Key: AYRYwKT_zLdrJGM29xw- Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 125;startOffset: 32;endOffset: 45;endLine: 125,Maintenance (Code Smells)
To-Do,New,Normal,java:S2142:  "Either re-interrupt this method or rethrow the InterruptedException that can be caught here.",MAJOR,15min,Key: AYRYwKJuzLdrJGM29xnT Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 117;startOffset: 29;endOffset: 40;endLine: 117,Reliability (Bugs)
To-Do,New,Normal,java:S2142:  "Either re-interrupt this method or rethrow the InterruptedException that can be caught here.",MAJOR,15min,Key: AYRYwKJuzLdrJGM29xnU Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 163;startOffset: 29;endOffset: 40;endLine: 163,Reliability (Bugs)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.",CRITICAL,24min,Key: AYRYwKJuzLdrJGM29xnQ Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 56;startOffset: 16;endOffset: 27;endLine: 56,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYRYwKI4zLdrJGM29xmt Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 139;startOffset: 26;endOffset: 73;endLine: 139,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AYRYwKI4zLdrJGM29xm5 Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 250;startOffset: 14;endOffset: 100;endLine: 250,Maintenance (Code Smells)
To-Do,New,Normal,java:S1604:  "Make this anonymous inner class a lambda",MAJOR,5min,Key: AYRYwKI4zLdrJGM29xmw Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 254;startOffset: 109;endOffset: 166;endLine: 254,Maintenance (Code Smells)
To-Do,New,Normal,java:S1488:  "Immediately return this expression instead of assigning it to the temporary variable handledResponseFuture.",MINOR,2min,Key: AYRYwKI4zLdrJGM29xmz Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedPlcConnection.java - startLine: 254;startOffset: 78;endOffset: 14;endLine: 264,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AYRYwKJuzLdrJGM29xnS Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 63;startOffset: 26;endOffset: 50;endLine: 63,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'Plc4xConnectResponse.class::cast'.",MINOR,2min,Key: AYRYwJ5jzLdrJGM29xJj Path: Analisi-1:plc4j/drivers/plc4x/src/main/java/org/apache/plc4x/java/plc4x/protocol/Plc4xProtocolLogic.java - startLine: 76;startOffset: 33;endOffset: 35;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,java:S131:  "Complete cases by adding the missing enum constants or add a default case to this switch.",CRITICAL,5min,Key: AYRYwKJuzLdrJGM29xnR Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 59;startOffset: 12;endOffset: 18;endLine: 59,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'Plc4xReadResponse.class::cast'.",MINOR,2min,Key: AYRYwJ5jzLdrJGM29xJk Path: Analisi-1:plc4j/drivers/plc4x/src/main/java/org/apache/plc4x/java/plc4x/protocol/Plc4xProtocolLogic.java - startLine: 112;startOffset: 33;endOffset: 35;endLine: 112,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'Plc4xWriteResponse.class::cast'.",MINOR,2min,Key: AYRYwJ5jzLdrJGM29xJl Path: Analisi-1:plc4j/drivers/plc4x/src/main/java/org/apache/plc4x/java/plc4x/protocol/Plc4xProtocolLogic.java - startLine: 156;startOffset: 33;endOffset: 35;endLine: 156,Maintenance (Code Smells)
To-Do,New,Normal,java:S1192:  "Define a constant instead of duplicating this literal unknown 8 times.",CRITICAL,18min,Key: AYRYwJzPzLdrJGM29xDq Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 145;startOffset: 72;endOffset: 81;endLine: 145,Maintenance (Code Smells)
To-Do,New,Normal,java:S1643:  "Use a StringBuilder instead.",MINOR,10min,Key: AYRYwJzPzLdrJGM29xDs Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 162;startOffset: 56;endOffset: 60;endLine: 162,Maintenance (Code Smells)
To-Do,New,Normal,java:S1643:  "Use a StringBuilder instead.",MINOR,10min,Key: AYRYwJzPzLdrJGM29xDt Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 165;startOffset: 56;endOffset: 60;endLine: 165,Maintenance (Code Smells)
To-Do,New,Normal,java:S1643:  "Use a StringBuilder instead.",MINOR,10min,Key: AYRYwJzPzLdrJGM29xDu Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 168;startOffset: 56;endOffset: 60;endLine: 168,Maintenance (Code Smells)
To-Do,New,Normal,java:S1643:  "Use a StringBuilder instead.",MINOR,10min,Key: AYRYwJzPzLdrJGM29xDv Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 171;startOffset: 56;endOffset: 60;endLine: 171,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYRYwJzPzLdrJGM29xDr Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 185;startOffset: 52;endOffset: 55;endLine: 185,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.",CRITICAL,12min,Key: AYRYwJy2zLdrJGM29xDT Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/readwrite/utils/StaticHelper.java - startLine: 92;startOffset: 32;endOffset: 42;endLine: 92,Maintenance (Code Smells)
To-Do,New,Normal,java:S2187:  "Add some tests to this class.",BLOCKER,5min,Key: AYRYwJzhzLdrJGM29xD3 Path: Analisi-1:plc4j/drivers/profinet/src/test/java/org/apache/plc4x/java/profinet/ManualProfinetIoDiscoveryTest.java - startLine: 25;startOffset: 13;endOffset: 42;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,java:S2187:  "Add some tests to this class.",BLOCKER,5min,Key: AYRYwJzZzLdrJGM29xD2 Path: Analisi-1:plc4j/drivers/profinet/src/test/java/org/apache/plc4x/java/profinet/ManualProfinetIoTest.java - startLine: 26;startOffset: 13;endOffset: 33;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to float.",MINOR,5min,Key: AYRYwJ6AzLdrJGM29xJv Path: Analisi-1:plc4j/drivers/simulated/src/main/java/org/apache/plc4x/java/simulated/connection/SimulatedDevice.java - startLine: 107;startOffset: 111;endOffset: 118;endLine: 107,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.",CRITICAL,13min,Key: AYRYwKP9zLdrJGM29xsm Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageResolver.java - startLine: 56;startOffset: 34;endOffset: 58;endLine: 56,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AYRYwJqbzLdrJGM29w-K Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/io/DataWriterSimpleBase.java - startLine: 31;startOffset: 4;endOffset: 10;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,java:S6355:  "Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.",MAJOR,5min,Key: AYRYwJl1zLdrJGM29w7I Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/WriteBufferByteBased.java - startLine: 64;startOffset: 4;endOffset: 15;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,java:S2139:  "Either log this exception and handle it or rethrow it with some contextual information.",MAJOR,15min,Key: AYRYwKP5zLdrJGM29xsg Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageValidatorAndMigrator.java - startLine: 99;startOffset: 17;endOffset: 35;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,java:S1192:  "Define a constant instead of duplicating this literal 000000000000 3 times.",CRITICAL,8min,Key: AYRYwJy7zLdrJGM29xDU Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 105;startOffset: 39;endOffset: 53;endLine: 105,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",CRITICAL,6min,Key: AYRYwKSwzLdrJGM29xwQ Path: Analisi-1:plc4j/utils/pcap-shared/src/main/java/org/apache/plc4x/java/utils/pcap/netty/config/PcapChannelConfig.java - startLine: 66;startOffset: 23;endOffset: 32;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.",CRITICAL,17min,Key: AYRYwKSWzLdrJGM29xvy Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/RawSocketChannel.java - startLine: 95;startOffset: 19;endOffset: 28;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,java:S5998:  "Refactor this repetition that can lead to a stack overflow for large inputs.",MAJOR,20min,Key: AYRYwJo3zLdrJGM29w9Z Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/ascii/AsciiBox.java - startLine: 31;startOffset: 95;endOffset: 111;endLine: 31,Reliability (Bugs)
To-Do,New,Normal,java:S6353:  "Use concise character class syntax '\\d' instead of '[0-9]'.",MINOR,5min,Key: AYRYwJo3zLdrJGM29w9a Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/ascii/AsciiBox.java - startLine: 31;startOffset: 99;endOffset: 104;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,java:S6353:  "Use concise character class syntax '\\d' instead of '[0-9]'.",MINOR,5min,Key: AYRYwJo3zLdrJGM29w9b Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/ascii/AsciiBox.java - startLine: 31;startOffset: 85;endOffset: 90;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.",CRITICAL,11min,Key: AYRYwJo-zLdrJGM29w9n Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/hex/Hex.java - startLine: 83;startOffset: 25;endOffset: 29;endLine: 83,Maintenance (Code Smells)
To-Do,New,Normal,java:S2095:  "Use try-with-resources or close this DatagramSocket in a finally clause.",BLOCKER,5min,Key: AYRYwJy7zLdrJGM29xDX Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 79;startOffset: 24;endOffset: 44;endLine: 79,Reliability (Bugs)
To-Do,New,Normal,java:S3457:  "Format specifiers should be used instead of string concatenation.",MAJOR,10min,Key: AYRYwJy7zLdrJGM29xDZ Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 81;startOffset: 12;endOffset: 72;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,java:S1172:  "Remove this unused method parameter offset.",MAJOR,5min,Key: AYb1LrROOz1K75YHZ1fq Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderFactory.java - startLine: 149;startOffset: 88;endOffset: 94;endLine: 149,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",CRITICAL,6min,Key: AYRYwKbyzLdrJGM29x2x Path: Analisi-1:code-generation/language-java/src/main/java/org/apache/plc4x/language/java/JavaLanguageTemplateHelper.java - startLine: 746;startOffset: 19;endOffset: 41;endLine: 746,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.pcap4j.core.PcapNativeException'.",MINOR,2min,Key: AYb1LsFHOz1K75YHZ1f1 Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 33;startOffset: 7;endOffset: 42;endLine: 33,Maintenance (Code Smells)
