Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2629:  ""Use the built-in formatting to construct this argument.""",MAJOR,5min,Key: AYebDvDypWSi3EnGk_wC Path: Analisi-1:plc4j/drivers/simulated/src/main/java/org/apache/plc4x/java/simulated/connection/SimulatedDevice.java - startLine: 96;startOffset: 52;endOffset: 71;endLine: 96,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AYebDv0npWSi3EnGk_wV Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/record/Plc4xReadResponseRecordSet.java - startLine: 136;startOffset: 25;endOffset: 74;endLine: 136,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AYebDv-QpWSi3EnGk_wn Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java - startLine: 236;startOffset: 32;endOffset: 108;endLine: 236,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AYebDv8UpWSi3EnGk_wf Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 101;startOffset: 20;endOffset: 98;endLine: 101,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AYebDv8UpWSi3EnGk_wg Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 106;startOffset: 20;endOffset: 102;endLine: 106,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3457:  ""String contains no format specifiers.""",MAJOR,10min,Key: AYebDv8UpWSi3EnGk_wj Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 225;startOffset: 40;endOffset: 103;endLine: 225,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AYebDv7opWSi3EnGk_we Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xNamespace.java - startLine: 104;startOffset: 24;endOffset: 108;endLine: 104,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1172:  ""Remove these unused method parameters n2 i.""",MAJOR,5min,Key: AYebDvkApWSi3EnGk_wM Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 388;startOffset: 161;endOffset: 163;endLine: 388,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1144:  ""Remove this unused private startSALMonitor method.""",MAJOR,5min,Key: AYebDvkApWSi3EnGk_wN Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 449;startOffset: 24;endOffset: 39;endLine: 449,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1144:  ""Remove this unused private startMMIMonitor method.""",MAJOR,5min,Key: AYebDvkApWSi3EnGk_wO Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 507;startOffset: 24;endOffset: 39;endLine: 507,Maintenance (Code Smells)
