Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.slf4j.Logger'.""",MINOR,2min,Key: AYURUUcD-Pd-AMm0ehAY Path: Analisi-1:plc4j/drivers/c-bus/src/main/java/org/apache/plc4x/java/cbus/protocol/CBusProtocolLogic.java - startLine: 28;startOffset: 7;endOffset: 23;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.slf4j.LoggerFactory'.""",MINOR,2min,Key: AYURUUcD-Pd-AMm0ehAZ Path: Analisi-1:plc4j/drivers/c-bus/src/main/java/org/apache/plc4x/java/cbus/protocol/CBusProtocolLogic.java - startLine: 29;startOffset: 7;endOffset: 30;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.plc4x.java.canopen.context.CANOpenDriverContext'.""",MINOR,2min,Key: AYURUUCh-Pd-AMm0ehAU Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/protocol/CANOpenProtocolLogic.java - startLine: 45;startOffset: 7;endOffset: 65;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.time.Duration'.""",MINOR,2min,Key: AYURUUCh-Pd-AMm0ehAV Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/protocol/CANOpenProtocolLogic.java - startLine: 81;startOffset: 7;endOffset: 25;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.util.concurrent.atomic.AtomicInteger'.""",MINOR,2min,Key: AYURUUa--Pd-AMm0ehAX Path: Analisi-1:plc4j/drivers/eip/src/main/java/org/apache/plc4x/java/eip/readwrite/protocol/EipProtocolLogic.java - startLine: 50;startOffset: 7;endOffset: 48;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.util.concurrent.atomic.AtomicBoolean'.""",MINOR,2min,Key: AYURUUZo-Pd-AMm0ehAW Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/protocol/OpcuaProtocolLogic.java - startLine: 55;startOffset: 7;endOffset: 48;endLine: 55,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.slf4j.Logger'.""",MINOR,2min,Key: AYURUT7Z-Pd-AMm0ehAS Path: Analisi-1:plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityManager.java - startLine: 28;startOffset: 7;endOffset: 23;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.slf4j.LoggerFactory'.""",MINOR,2min,Key: AYURUT7Z-Pd-AMm0ehAT Path: Analisi-1:plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityManager.java - startLine: 29;startOffset: 7;endOffset: 30;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'javax.management'.""",MINOR,2min,Key: AYURUT1B-Pd-AMm0ehAR Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperImpl.java - startLine: 42;startOffset: 7;endOffset: 25;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1610:  ""Convert the abstract class SerialChannelHandler into an interface.""",MINOR,10min,Key: AYURUU1l-Pd-AMm0ehAy Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannelHandler.java - startLine: 33;startOffset: 22;endOffset: 42;endLine: 33,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1186:  ""Add a nested comment explaining why this method is empty throw an UnsupportedOperationException or complete the implementation.""",CRITICAL,5min,Key: AYURUUoK-Pd-AMm0ehAx Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/exceptions/ParserSerializerTestsuiteException.java - startLine: 35;startOffset: 23;endOffset: 27;endLine: 35,Maintenance (Code Smells)
