Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S101:  ""Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJm2zLdrJGM29w8R Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/PlcTIME_OF_DAY.java - startLine: 34;startOffset: 13;endOffset: 27;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.io.UncheckedIOException'.""",MINOR,2min,Key: AYcY5fB04qaWvu8CHD3Z Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialPollingSelector.java - startLine: 26;startOffset: 7;endOffset: 35;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.text.MessageFormat'.""",MINOR,2min,Key: AYcY5e154qaWvu8CHD3Q Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 28;startOffset: 7;endOffset: 30;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1130:  ""Remove the declaration of thrown exception 'java.lang.NoSuchFieldException' as it cannot be thrown from method's body.""",MINOR,5min,Key: AYcY5eLq4qaWvu8CHD3F Path: Analisi-1:plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityInterceptor.java - startLine: 456;startOffset: 128;endOffset: 148;endLine: 456,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,0min,Key: AYRYwJuizLdrJGM29w_t Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/messages/DefaultPlcDiscoveryRequest.java - startLine: 70;startOffset: 0;endOffset: 25;endLine: 70,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,0min,Key: AYRYwKG_zLdrJGM29xk_ Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperImpl.java - startLine: 173;startOffset: 0;endOffset: 61;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1141:  ""Extract this nested try block into a separate method.""",MAJOR,20min,Key: AYcY5e794qaWvu8CHD3V Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 73;startOffset: 12;endOffset: 15;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1141:  ""Extract this nested try block into a separate method.""",MAJOR,20min,Key: AYcY5e794qaWvu8CHD3W Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 74;startOffset: 16;endOffset: 19;endLine: 74,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1141:  ""Extract this nested try block into a separate method.""",MAJOR,20min,Key: AYRYwJ5SzLdrJGM29xJT Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 164;startOffset: 28;endOffset: 31;endLine: 164,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1141:  ""Extract this nested try block into a separate method.""",MAJOR,20min,Key: AYRYwJxTzLdrJGM29xBr Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 137;startOffset: 20;endOffset: 23;endLine: 137,Maintenance (Code Smells)
